Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;
2003;    18.61;    18.60;    26.60;    24.27;    20.31;     8.07;    13.53;    13.46;    16.39;    22.01;     5.98;    22.70;    19.36;    22.16;    21.11;    19.74;
2004;     4.24;     4.22;     7.21;     5.08;     6.54;     1.11;     4.59;     4.57;     4.77;     6.22;     1.70;     4.45;     3.44;     4.96;     4.29;     3.41;
2005;     7.51;     7.50;    10.47;     8.25;     9.65;     3.56;     5.62;     5.57;     6.42;    11.56;     1.97;    14.33;     5.96;    10.38;     9.00;     7.19;
2006;    22.04;    22.01;    14.80;    12.14;    14.61;    10.72;    13.08;    13.06;    14.48;    15.77;     6.89;    17.08;    16.37;    19.33;    16.60;    13.03;
2007;     8.08;     8.04;     4.78;     5.14;     3.89;     2.50;     4.03;     4.01;     3.77;     4.94;     1.46;     3.48;     6.76;     7.48;     6.03;     4.13;
2008;    13.01;    12.95;     5.39;     7.06;     7.11;     6.19;     7.05;     7.07;     4.33;     5.45;     3.68;     4.55;     8.73;    11.69;    10.23;     8.33;
2009;     6.24;     6.21;     6.90;     3.96;     5.27;     3.02;     4.22;     4.18;     4.07;     5.84;     1.52;     4.47;     3.56;     6.30;     4.85;     2.96;
2010;    13.96;    13.90;    11.23;    10.03;    10.88;     9.03;    10.36;    10.35;    11.13;    11.39;     6.35;    10.31;    10.34;    11.88;    10.76;     9.30;
2011;     5.54;     5.53;     7.62;     5.63;     4.03;     1.44;     2.46;     2.44;     2.99;     5.02;     0.37;     4.90;     3.99;     4.63;     4.17;     3.58;
2012;    10.74;    10.72;    11.01;     9.49;     7.15;     4.45;     4.54;     4.52;     4.73;     7.60;     1.43;     7.26;     9.85;     9.63;     8.70;     7.49;
2013;    10.45;    10.46;    12.77;    14.07;    10.95;     5.69;     7.94;     7.90;     9.54;    10.58;     3.00;    11.13;    10.28;    12.24;    11.43;    10.37;
2014;    12.60;    12.55;     6.81;     6.57;     5.47;     3.20;     3.69;     3.68;     3.81;     5.98;     1.09;     5.91;     8.77;     9.55;     7.87;     5.68;
2015;    19.93;    19.90;    25.00;    25.60;    19.00;     7.70;     8.80;     8.76;    11.90;    19.50;     3.50;    20.90;    21.60;    17.90;    17.73;    17.50;
2016;    11.33;    11.31;    10.14;     7.67;    10.69;     5.99;     8.79;     8.74;    10.32;    10.32;     2.55;    11.39;     8.89;    14.36;    12.46;     9.99;
2017;     5.62;     5.59;    13.27;     9.99;     7.52;     0.70;     2.28;     2.23;     5.81;    10.65;     0.01;    11.18;     7.20;     6.22;     5.91;     5.51;
2018;    28.50;    28.42;    21.48;    18.14;    23.65;    15.51;    18.95;    18.93;    17.45;    19.61;    10.61;    18.52;    24.87;    28.81;    25.06;    20.17;
2019;    25.29;    25.24;    17.51;    15.21;    17.44;    13.15;    15.41;    15.37;    15.73;    18.35;     7.18;    20.56;    19.83;    22.54;    20.05;    16.81;
2020;    16.35;    16.31;    12.75;     9.11;    11.37;     8.91;    10.09;    10.13;    11.93;    15.07;     7.35;    17.49;    11.73;    14.31;    12.21;     9.48;
2021;     9.28;     9.19;     4.81;     4.64;     4.07;     4.72;     2.86;     2.86;     2.92;     3.98;     1.47;     3.88;     5.10;     6.70;     5.27;     3.41;
2022;    19.76;    19.73;    21.69;    15.90;    20.55;    12.18;    15.51;    15.43;    17.67;    22.53;     6.99;    29.75;    16.23;    20.43;    18.34;    15.62;
2023;    13.31;    13.30;    18.36;    15.48;    10.89;     5.37;     7.11;     7.09;     8.83;    11.95;     1.97;    13.55;    12.72;    11.67;    10.62;     9.25;
